bedroom_num,hall_num,bathroom_num,rent_area,house_title,resblock_name,bizcircle_name,layout,rent_price_listing,house_tag,frame_orientation,m_url,rent_price_unit,latitude,longitude,distance,city,dist,type
4,1,1,15,合租·双和园 4居室 南卧,双和园,奥体,4室1厅1卫,1650,公寓 近地铁 精装 新上 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2323647009238040576.html,元/月,31.987717,118.72964,175.0,南京,建业,合租
3,1,1,15,合租·润泰锦园 3居室 南卧,润泰锦园,桥北,3室1厅1卫,750,公寓 精装 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2293956080147111936.html,元/月,32.162794,118.754349,,南京,浦口,合租
3,2,1,95,整租·东虹花苑南 3室2厅 南,东虹花苑南,正方新城,3室2厅1卫,2200,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2296097162314399744.html,元/月,31.869853,118.780687,,南京,江宁,整租
4,1,1,8,合租·幕府佳园 4居室 北卧,幕府佳园,金陵小区,4室1厅1卫,930,公寓 近地铁 精装,北,https://m.lianjia.com/chuzu/nj/zufang/NJ2293355366425575424.html,元/月,32.113773353867,118.77877307098,532.0,南京,鼓楼,合租
2,1,1,63,整租·阳光里 2室1厅 南/北,阳光里,洪家园,2室1厅1卫,2800,近地铁,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2316565510378233856.html,元/月,32.00389,118.809516,844.0,南京,秦淮,整租
4,1,1,13,合租·华盛园 4居室 南卧,华盛园,卫岗,4室1厅1卫,1390,精装 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2298435433685581824.html,元/月,32.023594,118.856319,,南京,玄武,合租
3,1,1,90,整租·盛江花苑金桂园 3室1厅 南,盛江花苑金桂园,江宁滨江,3室1厅1卫,1200,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2221680079019720704.html,元/月,31.863232953587,118.60989899917,,南京,江宁,整租
2,2,1,69,整租·明发财富中心 2室2厅 南,明发财富中心,江浦街道,2室2厅1卫,3000,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2307737392812916736.html,元/月,32.068939,118.66479,1006.0,南京,浦口,整租
4,1,1,6,合租·清荷园南园 4居室 北卧,清荷园南园,奥体,4室1厅1卫,990,公寓 近地铁 精装 押一付一 新上 随时看房,北,https://m.lianjia.com/chuzu/nj/zufang/NJ2323801590152036352.html,元/月,31.976389291159,118.72035211184,437.0,南京,建业,合租
4,1,1,20,合租·秦湾景园 4居室 南卧,秦湾景园,岔路口,4室1厅1卫,1200,近地铁 精装 押一付一 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2310780511427239936.html,元/月,31.970065,118.827804,788.0,南京,江宁,合租
4,1,2,12,合租·明发滨江新城三期 4居室 西卧,明发滨江新城三期,桥北,4室1厅2卫,650,月租 近地铁 精装 押一付一 随时看房,西,https://m.lianjia.com/chuzu/nj/zufang/NJ2313590847855673344.html,元/月,32.139828007134,118.75312764899,801.0,南京,浦口,合租
4,1,1,22,合租·清荷园北园 4居室 南卧,清荷园北园,奥体,4室1厅1卫,1050,公寓 月租 近地铁 精装 押一付一 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2302659877132042240.html,元/月,31.978931,118.721196,680.0,南京,建业,合租
3,2,1,98,整租·仙鹤山庄 3室2厅 南,仙鹤山庄,仙林,3室2厅1卫,3300,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2282559912045723648.html,元/月,32.105171174582,118.90127246583,,南京,栖霞,整租
4,1,1,7,合租·南农大小区 4居室 北卧,南农大小区,卫岗,4室1厅1卫,1760,公寓 近地铁 精装 押一付一 随时看房,北,https://m.lianjia.com/chuzu/nj/zufang/NJ2315347299133833216.html,元/月,32.040557293216,118.84638531767,718.0,南京,玄武,合租
2,1,1,66,整租·燕升园1园 2室1厅 南,燕升园1园,迈皋桥,2室1厅1卫,1800,新上,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2320070777195732992.html,元/月,32.116792403056,118.86624550421,,南京,玄武,整租
3,1,2,126,整租·明月港湾月亮湾 3室1厅 南,明月港湾月亮湾,岔路口,3室1厅2卫,3600,双卫生间 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2283417270019964928.html,元/月,31.981635,118.838363,,南京,江宁,整租
4,1,4,20,合租·紫金佳苑 4居室 南卧,紫金佳苑,马群,4室1厅4卫,1260,公寓 精装 独立阳台 押一付一 新上 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2322399418722566144.html,元/月,32.050020045489,118.89285544548,,南京,玄武,合租
2,1,1,76,整租·银亿东城第九街区 2室1厅 南,银亿东城第九街区,麒麟镇,2室1厅1卫,1900,随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2087607444863205376.html,元/月,32.06935,118.950294,,南京,江宁,整租
4,1,1,18,合租·通宇林景雅园 4居室 南卧,通宇林景雅园,江浦街道,4室1厅1卫,700,月租 精装 押一付一 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2304816932156874752.html,元/月,32.083175,118.632397,,南京,浦口,合租
